downtime_id,machine_code,started_at,ended_at,reason_code,note
DT-9297,MC-04,2026-08-15T11:00:00,2026-08-15T11:30:00,DT-BRK,Shift break
DT-9072,MC-01,2026-08-15T11:03:00,2026-08-15T11:32:00,DT-PMT,Conveyor lubrication
DT-9151,MC-02,2026-08-15T11:20:00,2026-08-15T11:34:00,DT-QAL,Awaiting inspection sign-off
DT-9224,MC-03,2026-08-15T11:28:00,2026-08-15T11:56:00,DT-PCB,Firmware flash failures
DT-9073,MC-01,2026-08-15T13:34:00,2026-08-15T14:43:00,DT-PCB,PCB connector fault
DT-9298,MC-04,2026-08-15T15:28:00,2026-08-15T16:08:00,DT-QAL,Awaiting inspection sign-off
DT-9074,MC-01,2026-08-15T15:46:00,2026-08-15T17:19:00,DT-PWR,Voltage dip
DT-9225,MC-03,2026-08-15T16:46:00,2026-08-15T17:26:00,DT-PWR,DG changeover
DT-9299,MC-04,2026-08-15T17:23:00,2026-08-15T18:04:00,DT-CHG,Fixture swap for new model
DT-9075,MC-01,2026-08-15T17:28:00,2026-08-15T17:56:00,DT-MAT,Motor stator shortage
DT-9076,MC-01,2026-08-15T18:11:00,2026-08-15T18:38:00,DT-BRK,Shift break
DT-9226,MC-03,2026-08-15T18:13:00,2026-08-15T18:19:00,DT-BLD,Rework: blade seating
DT-9227,MC-03,2026-08-15T18:33:00,2026-08-15T19:05:00,DT-PMT,Weekly PM
DT-9077,MC-01,2026-08-15T19:50:00,2026-08-15T19:55:00,DT-OPR,Absenteeism
DT-9152,MC-02,2026-08-15T20:54:00,2026-08-15T21:25:00,DT-QAL,QA hold on lot
DT-9078,MC-01,2026-08-16T06:22:00,2026-08-16T06:31:00,DT-PCB,Firmware flash failures
DT-9300,MC-04,2026-08-16T07:03:00,2026-08-16T07:13:00,DT-PCB,PCB connector fault
DT-9153,MC-02,2026-08-16T07:14:00,2026-08-16T07:38:00,DT-BRK,Tea break
DT-9079,MC-01,2026-08-16T07:22:00,2026-08-16T07:34:00,DT-PMT,Torque gun calibration
DT-9080,MC-01,2026-08-16T07:43:00,2026-08-16T08:56:00,DT-MAT,Awaiting blade sets
DT-9228,MC-03,2026-08-16T07:55:00,2026-08-16T08:02:00,DT-OPR,Absenteeism
DT-9229,MC-03,2026-08-16T08:10:00,2026-08-16T08:36:00,DT-PWR,DG changeover
DT-9154,MC-02,2026-08-16T09:02:00,2026-08-16T09:29:00,DT-PMT,Torque gun calibration
DT-9230,MC-03,2026-08-16T10:02:00,2026-08-16T10:14:00,DT-PMT,Torque gun calibration
DT-9301,MC-04,2026-08-16T10:30:00,2026-08-16T10:47:00,DT-CHG,Product changeover
DT-9231,MC-03,2026-08-16T10:47:00,2026-08-16T10:54:00,DT-MAT,Canopy stock out
DT-9232,MC-03,2026-08-16T11:14:00,2026-08-16T11:50:00,DT-BRK,Tea break
DT-9302,MC-04,2026-08-16T12:18:00,2026-08-16T12:59:00,DT-CHG,Machine reset for changeover
DT-9233,MC-03,2026-08-16T13:15:00,2026-08-16T13:33:00,DT-CHG,Fixture swap for new model
DT-9303,MC-04,2026-08-16T13:35:00,2026-08-16T13:49:00,DT-CHG,Machine reset for changeover
DT-9155,MC-02,2026-08-16T15:16:00,2026-08-16T15:21:00,DT-MTR,Motor RPM out of band
DT-9156,MC-02,2026-08-16T16:32:00,2026-08-16T17:51:00,DT-PCB,Controller PCB reject batch
DT-9081,MC-01,2026-08-16T17:15:00,2026-08-16T17:37:00,DT-BRK,Handover break
DT-9234,MC-03,2026-08-16T17:38:00,2026-08-16T17:42:00,DT-BLD,Blade pitch out of tolerance
DT-9082,MC-01,2026-08-16T17:46:00,2026-08-16T18:17:00,DT-BRK,Handover break
DT-9083,MC-01,2026-08-16T18:33:00,2026-08-16T19:06:00,DT-BRK,Shift break
DT-9304,MC-04,2026-08-16T21:30:00,2026-08-16T21:45:00,DT-MTR,Motor RPM out of band
DT-9084,MC-01,2026-08-17T07:05:00,2026-08-17T07:42:00,DT-PMT,Torque gun calibration
DT-9305,MC-04,2026-08-17T07:40:00,2026-08-17T08:21:00,DT-BRK,Handover break
DT-9306,MC-03,2026-08-17T08:33:00,,DT-MTR,Motor RPM out of band
DT-9307,MC-01,2026-08-17T09:07:00,,DT-MAT,Awaiting blade sets
